Trail	Transformation	Accuracy	# of node in layer 1	# of node in layer 2	Regularization	train accuracy	train precision	train recall	train MSE	train R^2	Val_accuracy	Val_precision	val_recall	val_MSE	val_R^2
63	Polynomial with degree 2	0.3686	600	200	l1	0.3411	0.4397	0.3802	4.6637	0.6839	0.3676	0.4275	0.3767	5.2903	0.6408
64	Polynomial with degree 2	0.4131	600	200	l2	0.4525	0.4886	0.4928	3.0386	0.794	0.4136	0.3954	0.4136	4.1493	0.7183
65	Polynomial with degree 2	0.3715	600	300	l1	0.3432	0.4399	0.3795	4.7615	0.6772	0.3715	0.4328	0.3715	5.0064	0.6601
66	Polynomial with degree 2	0.4063	600	300	l2	0.4368	0.4791	0.4804	3.1325	0.7876	0.4077	0.3958	0.4077	4.0054	0.7281
67	Polynomial with degree 2	0.3651	800	100	l1	0.343	0.4357	0.3773	4.7185	0.6801	0.3651	0.4241	0.3651	5.0671	0.656
68	Polynomial with degree 2	0.4185	800	100	l2	0.425	0.4697	0.4687	3.2104	0.7824	0.4126	0.4054	0.4125	4.118	0.7204
69	Polynomial with degree 2	0.3661	800	200	l1	0.3455	0.4389	0.3801	4.7447	0.6784	0.3696	0.4309	0.3696	5.4562	0.6296
70	Polynomial with degree 2	0.4151	800	200	l2	0.4112	0.4538	0.4584	3.3984	0.7696	0.4009	0.385	0.4009	4.1987	0.7149
71	Polynomial with degree 2	0.3676	800	300	l1	0.3429	0.4394	0.3804	4.6961	0.6817	0.3686	0.43	0.3686	5.1674	0.6492
72	Polynomial with degree 2	0.4131	800	300	l2	0.4416	0.4854	0.4867	4.0707	0.7918	0_4072	0.3938	0.4072	4.071	0.7236
		best:													
		0.4229	100	200	l2										
